"id","lemma","language","pos","trans_anim","translation"
1,"atim","crk","N","AN","dog"
2,"maskwa","crk","N","AN","bear"
3,"wâpahtam","crk","V","TI","to see a thing"
4,"kinosêw","crk","N","AN","fish"
5,"itwêw","crk","V","AI","to speak"
6,"okiskinwahamâkêw","crk","N","AN","teacher"
7,"wîkiw","crk","V","AI","to live there"
8,"okiskinwahamâkan","crk","N","AN","student"
9,"isiyihkâsow","crk","V","AI","to be named"
10,"mitâs","crk","N","AN","a pair of pants"
11,"asikan","crk","N","AN","a sock"
12,"astis","crk","N","AN","a glove/mitt"
13,"tâpiskâkan","crk","N","AN","a scarf"
14,"akask","crk","N","AN","an arrow"
15,"ospwâkan","crk","N","AN","a pipe"
16,"asiniy","crk","N","AN","a stone"
17,"êmihkwân","crk","N","AN","spoon"
18,"askihk","crk","N","AN","a pail"
19,"apoy","crk","N","AN","a paddle"
20,"ahcâpiy","crk","N","IN","a bow"
21,"wâpikwaniy","crk","N","IN","a flower"
22,"maskosiy","crk","N","IN","a piece of grass"
23,"nîpiy","crk","N","IN","a leaf"
24,"maskihkiy","crk","N","IN","medicine"
25,"mêstakaya","crk","N","IN","hair"
26,"mîpit","crk","N","IN","a tooth"
27,"miskîsik","crk","N","IN","an eye"
28,"misit","crk","N","IN","a foot"
29,"miskât","crk","N","IN","a leg"
30,"mistikwân","crk","N","IN","a head"
31,"mitôn","crk","N","IN","a mouth"
32,"otêhimin","crk","N","IN","a strawberry"
33,"wîhkwaskwa","crk","N","IN","sweetgrass"
34,"nipâw","crk","V","AI","to sleep"
35,"kistâpitêhow","crk","V","AI","to brush teeth"
36,"postayiwinisêw","crk","V","AI","to dress"
37,"mîcisow","crk","V","AI","to eat"
38,"pimipayiw","crk","V","AI","to drive"
39,"masinahikêw","crk","V","AI","to write"
40,"nikamow","crk","V","AI","to sing"
41,"sêsâwîw","crk","V","AI","to exercise"
42,"pîhtokwêw","crk","V","AI","to enter"
43,"kâsîyâkanêw","crk","V","AI","dry dishes"
44,"kisîpêkastênisow","crk","V","AI","to bath"
45,"waniskâw","crk","V","AI","to wake/up"
46,"kâsîhkwêw","crk","V","AI","to wash someones own face"
47,"kîsitêpow","crk","V","AI","to cook"
48,"minihkwêw","crk","V","AI","to drink"
49,"pimohtêw","crk","V","AI","to walk"
50,"kapâw","crk","V","AI","to get out"
51,"ayamihcikêw","crk","V","AI","to read"
52,"mâtow","crk","V","AI","to cry"
53,"pimipahtâw","crk","V","AI","to run"
54,"nôhtêhkatêw","crk","V","AI","to be hungry"
